"address","amount"
"0x0003440b0F7eDB40C1c089B743A07A56BfF72aF0","44"
"0x0006e4548AED4502ec8c844567840Ce6eF1013f5","321"
"0x000B79f52356189C80a9d3AdA3911D4438218516","643"
"0x000BE263b3CEb55D22Ed9b40D7619f62c4862C80","21"
"0x000CE91ca7417212484f3Fd80B7f79F9C613b6De","22"
"0x000f4432a40560bBFf1b581a8b7AdEd8dab80026","22"
"0x0018Bfd060CB966AbAfE852eb1648a3e4385b477","399"
"0x001A2afAA2fb6ed584b80A79741Adae4bFc0AB58","40"
"0x001FE2CdBEeB0743679E958C0861Dd8788B28b19","86"
"0x001fEc6cAe7264b31702eD6Ff99Ac9a54870DA4C","204"
"0x00233B6ef072a68288A1A497a41c97d795049c40","22"
"0x0029dc8D8EF8C287Ad395732DBe5d5bf951Da820","40"
"0x002C8305d664e4F071015DEaDC14f9d6D099c682","44"
"0x003018368B69EC68F20691F2a45cB934498B79d4","47"
"0x00315a7b0a1E9737f1AbA63Cc7D991Ba65aA42cb","44"
"0x0032C91b1fC2FFc7DeB3A48fd171a0471E3BD741","39"
"0x0035E78D54a1DaF93dE5b7740ec9864294cd25f8","44"
"0x0039F22efB07A647557C7C5d17854CFD6D489eF3","280"
"0x003F6b20BFA4B5cAb701960eCF73859Cb3c095Fc","25"
"0x004537FCd9095489EbE38180a382341B962b501d","107"
"0x0045E35fAb51Fb8459ed8d3dEB799fdC41B5CA9a","26"
"0x0046AAC085f70F994737B23D9aDf3a6EBF586929","62"
"0x0048800E4f0f43C4867a9326402C69C28cd23bc7","48"
"0x004b2fFF6bdf6328c5a4d57A487cF3E1535F05eb","31"
"0x004eFb233c8D26ccC063061BEe54f0be9302e6ed","22"
"0x0057BD83a142Da84B6404616C683e21e7Dd6fA5f","706"
"0x0062Fb72D128699A70afDAD4b7bafb2Cde128913","219"
"0x00680EB6B77C16070043db99fAd51811a6eEA793","21"
"0x006B5EA9eC8426363fD21BEaDbF0E801aA419ed2","121"
"0x0070eDdEB79930B3c8d9d547a6648fF00d7c4aD1","28"
"0x007122C7d3D84eE10506ba8e9d4bb8861483CCaD","64"
"0x00774F36C4b1432b78e518fA5046a991A4838c55","23"
"0x007880443b595eb375ab6b6566ad9A52630659Ff","22"
"0x0078db45B39783fcd5eB9463DE6f59229b4B5b86","38"
"0x007E4E679E14F17D62607418F546E2d97d9e5A61","44"
"0x007E502334Bc8F66275F117097128ccBBE8b91F8","20"
"0x007EFD2FB97f65D4F805c3662d4d20BaE6e08d9B","52"
"0x007a65795aeA058D7b7e8d33c6E954f8bAC533cb","41"
"0x00822c4c2b66050291C1A7A7711D4c304c576235","21"
"0x00831493E6869A6F2f01957692f7525DA3C59A23","50"
"0x008324d55B50449CdCA9aef24B246313bb8c54FC","80"
"0x008B1FFe244bF31896C833bFf4Ad9009E7A0f4Eb","149"
"0x008C2b6E55284A2Ea09C62d50a7Da4C7c151deC9","647"
"0x00929C5c2c4f00B540e429247669Eb6fcd8b1DBF","291"
"0x0092e1cFcE6b32b30899a1eEad49f28464641103","20"
"0x0097D48A378Ed94abDF4389217605A3C23250e2E","29"
"0x009b6817807c332b9445f5C9cf2AC94631fe876e","64"
